Nome,Status Flora do Brasil,Nome Aceito Flora do Brasil,Status PlantList,Nome Aceito PlantList,Plant List x Flora do Brasil
Dicliptera ciliaris,Nome Aceito,Dicliptera ciliaris,Nome Aceito,Dicliptera ciliaris
Dyschoriste maranhonis,Nome Aceito,Dyschoriste maranhonis,Nome Aceito,Dyschoriste maranhonis
Hygrophila costata,Nome Aceito,Hygrophila costata,Nome Aceito,Hygrophila costata
Hygrophila guianensis,Nome Aceito,Hygrophila guianensis,Sinônimo,Hygrophila costata,Diferente
Hygrophila helodes,Não Encontrado,Não Encontrado,Sinônimo,Hygrophila costata
Justicia comata,Nome Aceito,Justicia comata,Nome Aceito,Justicia comata
Justicia aequilabris,Nome Aceito,Justicia aequilabris,Nome Aceito,Justicia aequilabris
Justicia laevilinguis,Nome Aceito,Justicia laevilinguis,Nome Aceito,Justicia laevilinguis
Justia pectoralis,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Nelsonia brunelloides,Sinônimo,Nelsonia canescens,Não Encontrado,Não Encontrado,Diferente
Ruellia bahiensis,Nome Aceito,Ruellia bahiensis,Nome Aceito,Ruellia bahiensis
Ruellia paniculata,Nome Aceito,Ruellia paniculata,Nome Aceito,Ruellia paniculata
Sesuvium portulacastrum,Nome Aceito,Sesuvium portulacastrum,Nome Aceito,Sesuvium portulacastrum
Echinodorus andrieuxii,Sinônimo,Echinodorus subalatus,Não Encontrado,Não Encontrado,Diferente
Echinodorus argentinensis,Sinônimo,Echinodorus grandiflorus,Sinônimo,Echinodorus grandiflorus
Echinodorus aschersonianus,Nome Aceito,Echinodorus aschersonianus,Não Encontrado,Não Encontrado,Diferente
Echinodorus bolivianus,Sinônimo,Helanthium bolivianum,Sinônimo,Helanthium bolivianum
Echinodorus cordifolius,Não Encontrado,Não Encontrado,Nome Aceito,Echinodorus cordifolius
Echinodorus floribundus,Nome Aceito,Echinodorus floribundus,Nome Aceito,Echinodorus floribundus
Echinodorus glandulosus,Nome Aceito,Echinodorus glandulosus,Nome Aceito,Echinodorus glandulosus
Echinodorus grandiflorus,Nome Aceito,Echinodorus grandiflorus,Nome Aceito,Echinodorus grandiflorus
Echinodorus grisebachii,Nome Aceito,Echinodorus grisebachii,Nome Aceito,Echinodorus grisebachii
Echinodorus lanceolatus,Nome Aceito,Echinodorus lanceolatus,Nome Aceito,Echinodorus lanceolatus
Echinodorus longipetalus,Nome Aceito,Echinodorus longipetalus,Nome Aceito,Echinodorus longipetalus
Echinodorus longiscapus,Nome Aceito,Echinodorus longiscapus,Nome Aceito,Echinodorus longiscapus
Echinodorus macrophyllus,Nome Aceito,Echinodorus macrophyllus,Nome Aceito,Echinodorus macrophyllus
Echinodorus palaefolius,Nome Aceito,Echinodorus palaefolius,Não Encontrado,Não Encontrado,Diferente
Echinodorus paniculatus,Nome Aceito,Echinodorus paniculatus,Nome Aceito,Echinodorus paniculatus
Echinodorus pubescens,Nome Aceito,Echinodorus pubescens,Nome Aceito,Echinodorus pubescens
Echinodorus ranunculoides,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Echinodorus reticulatus,Nome Aceito,Echinodorus reticulatus,Sinônimo,Echinodorus longipetalus,Diferente
Echinodorus scaber,Nome Aceito,Echinodorus scaber,Nome Aceito,Echinodorus scaber
Echinodorus subalatus,Nome Aceito,Echinodorus subalatus,Nome Aceito,Echinodorus subalatus
Echinodorus tenellus,Sinônimo,Helanthium tenellum,Não Encontrado,Não Encontrado,Diferente
Echinodorus teretoscapus,Sinônimo,Echinodorus glaucus,Sinônimo,Echinodorus glaucus
Helanthium tenellum,Nome Aceito,Helanthium tenellum,Nome Aceito,Helanthium tenellum
Hydrocleys martii,Nome Aceito,Hydrocleys martii,Nome Aceito,Hydrocleys martii
Hydrocleys nymphoides,Nome Aceito,Hydrocleys nymphoides,Nome Aceito,Hydrocleys nymphoides
Hydrocleys parviflora,Nome Aceito,Hydrocleys parviflora,Nome Aceito,Hydrocleys parviflora
Limnocharis flava,Nome Aceito,Limnocharis flava,Nome Aceito,Limnocharis flava
Limnocharis laforestii,Sinônimo,Limnocharis laforesti,Nome Aceito,Limnocharis laforestii,Diferente
Sagittaria guayanensis,Nome Aceito,Sagittaria guayanensis,Nome Aceito,Sagittaria guayanensis
Sagittaria lancifolia,Nome Aceito,Sagittaria lancifolia,Nome Aceito,Sagittaria lancifolia
Sagittaria montevidensis,Nome Aceito,Sagittaria montevidensis,Nome Aceito,Sagittaria montevidensis
Sagittaria planitiana,Nome Aceito,Sagittaria planitiana,Nome Aceito,Sagittaria planitiana
Sagittaria rhombifolia,Nome Aceito,Sagittaria rhombifolia,Nome Aceito,Sagittaria rhombifolia
Sagittaria sprucei,Nome Aceito,Sagittaria sprucei,Nome Aceito,Sagittaria sprucei
Alstroemeria isabellana,Sinônimo,,Nome Aceito,Alstroemeria isabellana,Diferente
Alternanthera aquatica,Nome Aceito,Alternanthera aquatica,Nome Aceito,Alternanthera aquatica
Alternanthera brasiliana,Nome Aceito,Alternanthera brasiliana,Nome Aceito,Alternanthera brasiliana
Alternanthera paronychioides,Nome Aceito,Alternanthera paronychioides,Nome Aceito,Alternanthera paronychioides
Alternanthera philoxeroides,Nome Aceito,Alternanthera philoxeroides,Nome Aceito,Alternanthera philoxeroides
Alternanthera pilosa,Nome Aceito,Alternanthera pilosa,Não Encontrado,Não Encontrado,Diferente
Alternanthera tenella,Nome Aceito,Alternanthera tenella,Não Encontrado,Não Encontrado,Diferente
Amaranthus spinosus,Nome Aceito,Amaranthus spinosus,Nome Aceito,Amaranthus spinosus
Amaranthus viridis,Nome Aceito,Amaranthus viridis,Nome Aceito,Amaranthus viridis
Atriplex montevidensis,Não Encontrado,Não Encontrado,Nome Aceito,Atriplex montevidensis
Atriplex undulata,Não Encontrado,Não Encontrado,Nome Aceito,Atriplex undulata
Blutaparon portulacoides,Nome Aceito,Blutaparon portulacoides,Nome Aceito,Blutaparon portulacoides
Chamissoa altissima,Nome Aceito,Chamissoa altissima,Nome Aceito,Chamissoa altissima
Chenopodium ambrosioides,Sinônimo,Dysphania ambrosioides,Não Encontrado,Não Encontrado,Diferente
Gomphrena demissa,Nome Aceito,Gomphrena demissa,Nome Aceito,Gomphrena demissa
Gomphrena elegans,Nome Aceito,Gomphrena elegans,Nome Aceito,Gomphrena elegans
Hebanthe paniculata,Sinônimo,Hebanthe eriantha,Sinônimo,Hebanthe eriantha
Pfaffia glomerata,Nome Aceito,Pfaffia glomerata,Nome Aceito,Pfaffia glomerata
Pfaffia pulverulenta,Sinônimo,Hebanthe pulverulenta,Não Encontrado,Não Encontrado,Diferente
Pfaffia iresinoides,Não Encontrado,Não Encontrado,Nome Aceito,Pfaffia iresinoides
Salicornia ambigua,Não Encontrado,Não Encontrado,Sinônimo,Sarcocornia perennis
Salicornia gaudichaudiana,Sinônimo,Salicornia fruticosa,Sinônimo,Sarcocornia fruticosa,Diferente
Crinum americanum,Nome Aceito,Crinum americanum,Nome Aceito,Crinum americanum
Hyppeastrum angustifolium,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Schinus terenbinthifolius,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Centella asiatica,Nome Aceito,Centella asiatica,Nome Aceito,Centella asiatica
Eryngium ebracteatum,Nome Aceito,Eryngium ebracteatum,Nome Aceito,Eryngium ebracteatum
Eryngium eburneum,Nome Aceito,Eryngium eburneum,Nome Aceito,Eryngium eburneum
Eryngium ekmanii,Nome Aceito,Eryngium ekmanii,Nome Aceito,Eryngium ekmanii
Eryngium pandanifolium,Nome Aceito,Eryngium pandanifolium,Nome Aceito,Eryngium pandanifolium
Hydrocotyle ranunculoides,Nome Aceito,Hydrocotyle ranunculoides,Nome Aceito,Hydrocotyle ranunculoides
Hydrocotyle verticillata,Nome Aceito,Hydrocotyle verticillata,Nome Aceito,Hydrocotyle verticillata
Lilaeopsis attenuata,Nome Aceito,Lilaeopsis attenuata,Nome Aceito,Lilaeopsis attenuata
Lilaeopsis brasiliensis,Nome Aceito,Lilaeopsis brasiliensis,Nome Aceito,Lilaeopsis brasiliensis
Lilaeopsis carolinensis,Nome Aceito,Lilaeopsis carolinensis,Nome Aceito,Lilaeopsis carolinensis
Lilaeopsis tenuis,Nome Aceito,Lilaeopsis tenuis,Nome Aceito,Lilaeopsis tenuis
Allamanda cathartica,Nome Aceito,Allamanda cathartica,Nome Aceito,Allamanda cathartica
Allamanda nobilis,Nome Aceito,Allamanda nobilis,Nome Aceito,Allamanda nobilis
Ditassa hastata,Nome Aceito,Ditassa hastata,Nome Aceito,Ditassa hastata
Mandevilla clandestina,Nome Aceito,Mandevilla clandestina,Nome Aceito,Mandevilla clandestina
Mandevilla hirsuta,Nome Aceito,Mandevilla hirsuta,Nome Aceito,Mandevilla hirsuta
Mandevilla tenuifolia,Nome Aceito,Mandevilla tenuifolia,Nome Aceito,Mandevilla tenuifolia
Odontadenia nitida,Nome Aceito,Odontadenia nitida,Nome Aceito,Odontadenia nitida
Oxypetalum pachyglossum,Nome Aceito,Oxypetalum pachyglossum,Nome Aceito,Oxypetalum pachyglossum
Oxypetalum tubatum,Nome Aceito,Oxypetalum tubatum,Nome Aceito,Oxypetalum tubatum
Rhabdadenia biflora,Nome Aceito,Rhabdadenia biflora,Nome Aceito,Rhabdadenia biflora
Rhabdadenia madida,Nome Aceito,Rhabdadenia madida,Nome Aceito,Rhabdadenia madida
Rhabdanenia pohlii,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Alocasia macrorrhiza,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Colocasia esculenta,Não Encontrado,Não Encontrado,Nome Aceito,Colocasia esculenta
Dracontium longipes,Nome Aceito,Dracontium longipes,Nome Aceito,Dracontium longipes
Landoltia punctata,Nome Aceito,Landoltia punctata,Sinônimo,Spirodela punctata,Diferente
Lemna aequinoctialis,Nome Aceito,Lemna aequinoctialis,Nome Aceito,Lemna aequinoctialis
Lemna gibba,Nome Aceito,Lemna gibba,Nome Aceito,Lemna gibba
Lemna minuta,Nome Aceito,Lemna minuta,Nome Aceito,Lemna minuta
Lemna valdiviana,Nome Aceito,Lemna valdiviana,Nome Aceito,Lemna valdiviana
Montrichardia arborescens,Nome Aceito,Montrichardia arborescens,Nome Aceito,Montrichardia arborescens
Montrichiardia linifera,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Philodendron brasiliense,Nome Aceito,Philodendron brasiliense,Nome Aceito,Philodendron brasiliense
Philodendron rudgeanum,Nome Aceito,Philodendron rudgeanum,Nome Aceito,Philodendron rudgeanum
Pistia stratioides,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Spirodela intermedia,Nome Aceito,Spirodela intermedia,Sinônimo,Spirodela punctata,Diferente
Urospatha sagittifolia,Nome Aceito,Urospatha sagittifolia,Nome Aceito,Urospatha sagittifolia
Wolffia arrhiza,Nome Aceito,Wolffia arrhiza,Nome Aceito,Wolffia arrhiza
Wolffia brasiliensis,Nome Aceito,Wolffia brasiliensis,Nome Aceito,Wolffia brasiliensis
Wolffia columbiana,Nome Aceito,Wolffia columbiana,Nome Aceito,Wolffia columbiana
Wolffiella lingulata,Nome Aceito,Wolffiella lingulata,Nome Aceito,Wolffiella lingulata
Wollffiella oblonga,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Wolffiella welwitschii,Nome Aceito,Wolffiella welwitschii,Nome Aceito,Wolffiella welwitschii
Xanthosoma aristiguietae,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Zantedeschia aethiopica,Não Encontrado,Não Encontrado,Nome Aceito,Zantedeschia aethiopica
Hydrocotyle bonariensis,Nome Aceito,Hydrocotyle bonariensis,Nome Aceito,Hydrocotyle bonariensis
Hydrocotyle leucocephala,Nome Aceito,Hydrocotyle leucocephala,Nome Aceito,Hydrocotyle leucocephala
Hydrolotyle pussilla,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Hydrocotyle ranunculoides,Nome Aceito,Hydrocotyle ranunculoides,Nome Aceito,Hydrocotyle ranunculoides
Hydrocotyle verticillata,Nome Aceito,Hydrocotyle verticillata,Nome Aceito,Hydrocotyle verticillata
Bactris maraja,Nome Aceito,Bactris maraja,Nome Aceito,Bactris maraja
Mauritia carana,Nome Aceito,Mauritia carana,Nome Aceito,Mauritia carana
Mauritiella armata,Nome Aceito,Mauritiella armata,Nome Aceito,Mauritiella armata
Aristolochia macroura,Sinônimo,Aristolochia trilobata,Nome Aceito,Aristolochia macroura,Diferente
Roullinia montevidensis,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Acanthospermum australe,Nome Aceito,Acanthospermum australe,Nome Aceito,Acanthospermum australe
Acanthospermum hispidum,Nome Aceito,Acanthospermum hispidum,Nome Aceito,Acanthospermum hispidum
Achyrocline alata,Nome Aceito,Achyrocline alata,Nome Aceito,Achyrocline alata
Acilepdopsis echitifolia,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Acmella uliginosa,Nome Aceito,Acmella uliginosa,Nome Aceito,Acmella uliginosa
Adenostemma brasilianum,Nome Aceito,Adenostemma brasilianum,Nome Aceito,Adenostemma brasilianum
Ageratum conyzoides,Nome Aceito,Ageratum conyzoides,Nome Aceito,Ageratum conyzoides
Ambrosia artemisiaefolia,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Aster squamatus,Sinônimo,Symphyotrichum squamatum,Nome Aceito,Aster squamatus,Diferente
Baccharis microcephala,Nome Aceito,Baccharis microcephala,Nome Aceito,Baccharis microcephala
Baccharis penningtonii,Nome Aceito,Baccharis penningtonii,Nome Aceito,Baccharis penningtonii
Baccharis spicata,Nome Aceito,Baccharis spicata,Nome Aceito,Baccharis spicata
Baccharis usteri,Sinônimo,Baccharis junciformis,Não Encontrado,Não Encontrado,Diferente
Baccharidastrum triplinerve,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Barrosoa betonicaeformis,Nome Aceito,Barrosoa betonicaeformis,Nome Aceito,Barrosoa betonicaeformis
Bidens laevis,Nome Aceito,Bidens laevis,Nome Aceito,Bidens laevis
Blainvillea dichotoma,Nome Aceito,Blainvillea dichotoma,Nome Aceito,Blainvillea dichotoma
Centratherum punctatum,Nome Aceito,Centratherum punctatum,Nome Aceito,Centratherum punctatum
Calea marginata,Nome Aceito,Calea marginata,Nome Aceito,Calea marginata
Campuloclinium purpurascens,Nome Aceito,Campuloclinium purpurascens,Nome Aceito,Campuloclinium purpurascens
Chaptalia graminifolia,Nome Aceito,Chaptalia graminifolia,Nome Aceito,Chaptalia graminifolia
Chrysolaena platensis,Nome Aceito,Chrysolaena platensis,Nome Aceito,Chrysolaena platensis
Clibadium amanii,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Conyza bonariensis,Nome Aceito,Conyza bonariensis,Não Encontrado,Não Encontrado,Diferente
Conyza sumatrensis,Nome Aceito,Conyza sumatrensis,Nome Aceito,Conyza sumatrensis
Cotula coronopifolia,Nome Aceito,Cotula coronopifolia,Nome Aceito,Cotula coronopifolia
Delilia biflora,Nome Aceito,Delilia biflora,Nome Aceito,Delilia biflora
Eclipta megapotamica,Nome Aceito,Eclipta megapotamica,Nome Aceito,Eclipta megapotamica
Eclipta prostrata,Nome Aceito,Eclipta prostrata,Nome Aceito,Eclipta prostrata
Egletes viscosa,Nome Aceito,Egletes viscosa,Nome Aceito,Egletes viscosa
Elephantopus mollis,Nome Aceito,Elephantopus mollis,Nome Aceito,Elephantopus mollis
Emilia coccinea,Sinônimo,Emilia fosbergii,Nome Aceito,Emilia coccinea,Diferente
Emilia sonchifolia,Nome Aceito,Emilia sonchifolia,Nome Aceito,Emilia sonchifolia
Enydra anagallis,Nome Aceito,Enydra anagallis,Nome Aceito,Enydra anagallis
Enydra radicans,Nome Aceito,Enydra radicans,Nome Aceito,Enydra radicans
Enydra sessilis,Não Encontrado,Não Encontrado,Nome Aceito,Enydra sessilis
Enydra virularis,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Erechtites hieracifolia,Não Encontrado,Não Encontrado,Nome Aceito,Erechtites hieracifolia
Erechtites hieracifolius,Nome Aceito,Erechtites hieracifolius,Não Encontrado,Não Encontrado,Diferente
Erechtites valerianifolius,Nome Aceito,Erechtites valerianifolius,Nome Aceito,Erechtites valerianifolius
Erigeron maximus,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Eupatorium bupleurifolium,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Eupatorium candolleanum,Sinônimo,Barrosoa candolleana,Não Encontrado,Não Encontrado,Diferente
Eupatorium subhastatum,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Eupatorium tremulum,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Eupatorium tweedianum,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
